shoe size,height,class
9.589177219,70.49285209,seniors
10.16689706,72.72331525,seniors
11.26827865,69.8697373,seniors
11.19780877,66.6313156,seniors
12.21363609,72.12409691,seniors
11.21181109,74.90869005,seniors
10.69292476,68.50616311,seniors
10.49997685,72.09678635,seniors
8.5590782,71.54110723,seniors
10.07841644,72.31825202,seniors
8.91078546,72.18641233,seniors
9.171901151,65.45375138,seniors
8.752476984,68.53579774,seniors
10.37520669,67.47714243,seniors
10.69946732,71.72809694,seniors
11.2910116,68.75779944,seniors
12.09880661,69.97399727,seniors
9.575999226,71.75489502,seniors
11.19756415,66.67601256,seniors
11.92283078,70.96797629,seniors
10.96189004,66.13658805,seniors
9.408366915,74.76817641,seniors
8.925399289,64.93731206,seniors
8.6702726,68.77824384,seniors
11.88566306,71.14613979,seniors
8.654095884,68.47433368,seniors
9.699158355,70.37741422,seniors
9.503332452,65.40894849,seniors
8.561445813,70.74629219,seniors
9.701328704,66.4712585,seniors
10.04897819,65.57040514,seniors
13.3406515,71.69150145,seniors
10.52772226,72.02665721,seniors
9.169510021,72.63035292,seniors
9.042974111,72.76160089,seniors
10.85352132,74.57829691,seniors
11.07745355,65.42233709,seniors
10.0894379,67.14329037,seniors
11.90444321,70.54114741,seniors
10.40024232,68.2271739,seniors
9.933641169,65.46862799,seniors
10.42477104,69.28118199,seniors
10.10576842,68.57467814,seniors
9.855542184,75.41137265,seniors
11.12473946,70.8491002,seniors
8.904519081,76.74966092,seniors
10.8906377,68.29355673,seniors
8.14059614,69.89546077,seniors
12.02113314,73.4188537,seniors
10.54119821,68.27572003,seniors
10.02720249,68.59890464,seniors
10.33440949,68.490178,seniors
10.30510778,66.22659992,seniors
10.99972299,68.95027452,seniors
10.73944847,68.53432072,seniors
9.101545957,71.66927874,seniors
9.905822603,65.37645999,seniors
11.39387504,65.76097985,seniors
10.59927632,72.95353765,seniors
11.80919787,73.42945757,seniors
7.857135889,71.78823775,seniors
10.1666104,63.90095577,seniors
10.89079754,70.02616562,seniors
10.3557594,76.60971012,seniors
10.33742557,72.49815728,seniors
10.73455567,70.2061894,seniors
11.46264271,77.2352629,seniors
10.73441838,68.19672241,seniors
9.577686542,70.14192087,seniors
9.139231293,69.95246301,seniors
10.48783265,68.34585626,seniors
9.893092846,74.40842179,seniors
9.374167505,62.61195492,seniors
10.82031695,67.17712511,seniors
8.664289421,71.95231438,seniors
10.98585808,64.85357989,seniors
9.444277629,66.41328404,seniors
11.13209306,66.74103377,seniors
8.903879695,71.95650433,seniors
10.73074895,66.33667864,seniors
9.889130611,69.15779869,seniors
9.281206507,69.96337359,seniors
10.38281382,64.94735096,seniors
9.08606666,67.41917897,seniors
9.751473612,72.56098796,seniors
8.661698714,71.99991413,seniors
10.35033117,74.05459105,seniors
8.517891234,68.80077648,seniors
10.71211744,66.39783395,seniors
10.55346704,68.40694681,seniors
8.964237987,72.08021533,seniors
10.71292603,66.26159959,seniors
7.823476948,69.77079727,seniors
9.888868745,68.19679288,seniors
10.65567507,70.30124772,seniors
9.8168422,68.45667391,seniors
10.86257211,70.55973264,seniors
10.03236189,73.76006829,seniors
11.77830467,68.39437749,seniors
11.97731517,67.59498539,seniors
9.143011942,73.11399607,seniors
9.657305586,68.23754088,seniors
10.02813515,71.84969482,seniors
10.84045348,65.8849059,seniors
11.80327288,68.59684181,seniors
9.23122635,69.5323795,seniors
12.94218922,66.9322521,seniors
10.11314249,70.35712441,seniors
10.43439575,69.14407998,seniors
10.05596341,72.66363426,seniors
10.31072501,68.48999418,seniors
10.06666712,68.88439781,seniors
12.79418635,65.98903064,seniors
9.382042674,70.2060014,seniors
7.191219508,70.52637006,seniors
11.15062697,71.51555645,seniors
10.47155249,69.33990771,seniors
9.660235098,71.64319784,seniors
12.61894876,68.99551209,seniors
10.60844566,75.98736832,seniors
9.603996436,69.28405843,seniors
9.780382687,72.49537418,seniors
10.58504509,67.02347416,seniors
10.19146307,68.76484555,seniors
12.50089129,70.30605441,seniors
8.270385484,68.36920578,seniors
10.35999621,67.7196785,seniors
10.88201877,73.13458018,seniors
9.944795677,69.1804834,seniors
10.12380455,71.88634124,seniors
9.278915901,72.22165371,seniors
8.270897137,74.31757002,seniors
10.15087839,70.31956217,seniors
11.34333084,65.43891305,seniors
10.25345498,63.25548513,seniors
10.80552373,68.31694978,seniors
8.293723492,74.01347765,seniors
11.68833473,68.54483553,seniors
8.785786428,68.23840732,seniors
10.23027741,72.26473291,seniors
10.22048307,74.99486381,seniors
10.20082613,72.02040917,seniors
11.89944297,71.96342728,seniors
9.703409293,71.80381593,seniors
9.132472472,66.53550192,seniors
9.094910081,68.04999305,seniors
9.910725934,77.14265743,seniors
10.23838957,71.42503324,seniors
10.91573945,65.66576928,seniors
10.18939029,74.52239024,seniors
7.565579566,70.01363359,seniors
10.40188773,67.85037589,seniors
10.46493507,71.09397497,seniors
10.37050365,69.97912941,seniors
10.84692872,66.56028168,seniors
9.502318412,68.36055152,seniors
7.703019281,60.03199368,fourth
6.834188365,56.40661778,fourth
6.588302043,60.97180568,fourth
7.085109688,58.25846719,fourth
6.349671287,57.0435264,fourth
7.19335056,58.79062942,fourth
6.436369393,57.77122968,fourth
6.396745912,57.93407933,fourth
6.750214572,57.95623437,fourth
7.064280009,59.23459838,fourth
7.073190033,57.96790791,fourth
7.394415442,58.9684921,fourth
7.778944769,53.54667051,fourth
5.734303308,56.71587773,fourth
6.390243865,60.11291783,fourth
7.308057405,58.63421755,fourth
6.116709259,59.38890638,fourth
5.98974746,56.4250048,fourth
8.364029633,54.7720576,fourth
7.107312295,59.95562889,fourth
7.823697582,60.46034603,fourth
7.177545812,53.95852701,fourth
8.933766103,59.29280879,fourth
6.633378593,54.96448687,fourth
7.323714494,59.15336891,fourth
7.003658402,60.64642281,fourth
6.711715967,59.09615761,fourth
7.434258231,55.30402108,fourth
6.623225655,56.30411824,fourth
7.096452178,61.28338277,fourth
8.15945129,59.08716308,fourth
5.956846148,55.61714022,fourth
7.953059592,58.02144201,fourth
5.761942147,53.11465846,fourth
6.293750655,61.67923547,fourth
7.5280243,55.85690615,fourth
6.692607335,57.48427955,fourth
5.941417408,57.96445416,fourth
6.792529975,60.41572703,fourth
5.799037279,57.76126511,fourth
6.950654864,58.60613261,fourth
7.551235841,57.46382765,fourth
6.616642306,61.32863703,fourth
10.43071021,56.55130641,fourth
7.760853741,57.07304201,fourth
6.627932736,60.48638489,fourth
8.868741661,59.56428582,fourth
6.791314445,56.91273509,fourth
7.123142546,56.20887509,fourth
6.714585611,57.71341193,fourth
7.654650252,57.06761737,fourth
7.013206366,61.87108295,fourth
7.130902986,58.86847116,fourth
6.656766569,58.00921548,fourth
9.043671046,58.39471352,fourth
6.425121686,57.06426828,fourth
7.548652601,55.70162985,fourth
6.07973597,59.66679325,fourth
6.020445519,56.36486204,fourth
6.970315764,58.85916069,fourth
6.951039933,55.25659477,fourth
7.57206461,55.51893382,fourth
6.064421071,59.697188,fourth
7.35255797,55.42828903,fourth
7.062594505,57.02960138,fourth
5.896530896,59.76848616,fourth
7.923696615,58.77758051,fourth
5.830833537,55.4526428,fourth
5.976285817,59.20122892,fourth
7.067561496,55.79891792,fourth
8.186162388,59.15013727,fourth
8.117892013,60.38173383,fourth
7.739256011,53.73082178,fourth
8.889405507,62.06763388,fourth
7.151575751,57.41163905,fourth
7.078008689,61.40614612,fourth
6.91759811,60.07101087,fourth
6.771434695,56.78704884,fourth
7.481724668,56.89434634,fourth
6.498831203,52.92907422,fourth
7.429831827,55.64598415,fourth
8.143399482,53.3750489,fourth
7.454566798,58.23292936,fourth
5.655090746,56.66346534,fourth
6.58009138,61.85927192,fourth
7.266375275,56.37643659,fourth
7.446812647,58.01250477,fourth
7.468004177,59.58932043,fourth
6.364324463,57.10983706,fourth
7.08544038,55.90656893,fourth
8.076175169,58.24850584,fourth
5.43571554,60.19671483,fourth
6.138961153,57.64455667,fourth
5.544550139,59.33182035,fourth
7.977972116,54.97620903,fourth
7.306279679,62.03293346,fourth
6.927867063,58.23937247,fourth
6.632234605,57.70927158,fourth
7.880321722,55.61008441,fourth
7.396058903,54.78837314,fourth
7.138196701,58.41923578,fourth
7.430921163,57.24894159,fourth
6.706426551,57.89170233,fourth
7.09876269,56.58805965,fourth
8.974666247,61.9957555,fourth
6.411445657,55.48621699,fourth
7.42488188,58.95866465,fourth
7.128045259,61.88627884,fourth
8.834284807,54.59054192,fourth
6.89135339,56.49419429,fourth
7.041746135,58.36323858,fourth
6.958746036,58.7269021,fourth
6.638839046,57.3921133,fourth
7.483741863,56.84097345,fourth
6.693970367,57.16080409,fourth
5.1145015,54.11716855,fourth
7.857821038,59.73622149,fourth
5.905894337,58.83302098,fourth
6.883343763,57.84658569,fourth
6.268597132,57.71505893,fourth
7.217003438,62.69873733,fourth
6.80696246,59.44927048,fourth
6.778838398,56.00337275,fourth
7.20007682,58.16755041,fourth
7.360817277,58.19908823,fourth
7.008594864,62.15904135,fourth
7.513654233,56.96016993,fourth
6.681106115,55.6846327,fourth
7.06556429,59.15961514,fourth
6.299970215,59.96046638,fourth
7.894392575,59.00641199,fourth
7.25434263,56.54577074,fourth
7.582028906,59.12147039,fourth
6.823563512,61.2747648,fourth
7.776928259,58.55758391,fourth
6.133832929,57.22479791,fourth
7.277389007,59.40792641,fourth
6.206988756,56.52780607,fourth
6.899559233,58.49406575,fourth
6.757627663,58.49899263,fourth
7.540446937,56.20301494,fourth
7.748361729,57.6302445,fourth
6.626879248,58.36403124,fourth
6.162007032,61.79327767,fourth
5.564051794,60.44153183,fourth
7.054091753,59.28859042,fourth
6.775563374,58.35916553,fourth
7.882719194,53.52036842,fourth
7.067431912,56.02664731,fourth
7.97887724,58.42801017,fourth
6.861179659,57.85844978,fourth
7.939123807,59.66978083,fourth
5.879929764,63.12606842,fourth
7.461678385,57.01448007,fourth
6.026162865,59.40045798,fourth
6.130943634,59.28500705,fourth
6.227856508,56.03006841,fourth
7.058937602,57.06506276,fourth
8.522539406,57.74080996,fourth
8.128733956,61.11304339,fourth
8.769813939,58.89020722,fourth
7.143466155,55.58429831,fourth
5.573881718,57.49027365,fourth
6.502579561,59.22849182,fourth
6.608974785,62.15402973,fourth
7.451040475,58.33032075,fourth
8.487177117,54.2218488,fourth
7.102656934,59.45926549,fourth
5.609652555,58.46232337,fourth
7.164416008,58.96476695,fourth
7.533506334,54.36377064,fourth
7.566049108,58.23895334,fourth
7.400305018,57.12662678,fourth
7.654455097,61.28670645,fourth
6.567151593,59.68478835,fourth
8.624344077,57.54264078,fourth
7.089789428,59.75699562,fourth
6.559246608,59.36749834,fourth
6.486646197,56.79581241,fourth
6.239125687,57.40561973,fourth
7.301797659,57.06811277,fourth
5.111486329,57.09703918,fourth
8.492758108,59.50745732,fourth
6.107392255,58.25885585,fourth
6.921917478,55.47527625,fourth
7.48700381,58.76944641,fourth
6.402452094,64.22791919,fourth
5.97410797,57.81521165,fourth
7.559980143,58.61191862,fourth
7.51389547,58.8173442,fourth
6.711498238,59.94964357,fourth
5.702379478,57.80183809,fourth
7.339148413,60.22059768,fourth
7.304989935,59.45883034,fourth
7.795158955,57.75369901,fourth
8.193200611,56.37448346,fourth
6.98243692,59.33299028,fourth
6.758975621,57.08304405,fourth
5.881597955,57.12587482,fourth
7.529674967,60.92690513,fourth
7.83481219,57.22998268,fourth
8.615012385,55.11914037,fourth
7.964344523,57.7579329,fourth
8.037549473,56.70499434,fourth
6.942423956,57.74625231,fourth
6.64326414,57.53184252,fourth
9.543223288,59.81342055,fourth
7.051013777,58.76808382,fourth
7.133094816,59.87503185,fourth
5.977637066,62.44863883,fourth
6.672641413,57.69913189,fourth
6.364967922,58.96868393,fourth
7.119551659,59.1440402,fourth
6.312160711,56.62269742,fourth
7.666711877,57.79681879,fourth
5.558711022,60.85952304,fourth
6.755368305,61.4062961,fourth
7.729694352,56.54293454,fourth
7.935688365,54.67077972,fourth
7.721872343,59.07863078,fourth
6.790728087,56.50626255,fourth
6.671880403,51.08110067,fourth
6.90487642,59.82349575,fourth
6.281759494,56.52330894,fourth
6.407945957,54.54064242,fourth
